redTime,latitude,longitude,hacc,altitude,Avg_x,Avg_y,Avg_z,vacc,speed,course
78,51.9127231,-1.145563005,5,83.8343,-7.14441935196078e-002,-0.981348523862745,0.146088843284314,3,13.789999962,32.34375
79,51.912832609,-1.145464852,5,83.8293,-0.0731322345,-0.984213735529411,0.119076298735294,3,13.630000114,34.1015625
80,51.912941826,-1.145347087,5,83.8909,-2.78990502254902e-002,-0.985320596137255,0.144249411186274,3,13.920000076,35.5078125
81,51.913048276,-1.14524005,5,83.7253,-4.90118288235294e-002,-0.980298210637255,0.146972057813726,3,13.829999924,35.5078125
82,51.913142446,-1.145117506,5,83.5811,-5.46840592745098e-002,-0.984989689892157,0.147131826382353,4,13.850000381,37.6171875
83,51.91324085,-1.144999405,5,83.1879,-4.99420166568627e-002,-0.982266594362745,0.114415486647059,3,13.869999886,37.265625
84,51.913335356,-1.144875102,5,83.0551,-6.31290510686274e-002,-0.981971441568628,0.11686257754902,3,13.680000305,36.2109375
85,51.913437196,-1.144754486,5,82.8015,-8.78957112254902e-002,-0.986410552421568,0.117418027421569,3,13.529999733,36.5625
86,51.913532205,-1.144652059,5,82.6814,-5.82740634313726e-002,-0.989255269421569,0.128935271637255,3,13.579999924,36.2109375
87,51.913636476,-1.144546699,5,82.393,-4.61738437156863e-002,-0.998276953558824,0.125193427588235,3,13.600000381,34.1015625
88,51.913741417,-1.144445864,5,82.3979,-4.61556147572816e-003,-1.00117063061165,0.133524478029126,3,13.390000343,31.2890625
89,51.913837139,-1.144337738,5,82.2699,1.9274992127451e-002,-0.991756364411765,0.127265631058824,3,13.079999924,29.1796875
90,51.913941535,-1.144258529,5,82.3176,3.49854114313726e-002,-0.994970583441176,0.109836653215686,3,12.630000114,26.015625
91,51.914045177,-1.14418787,5,82.3597,1.75947302156863e-002,-0.995126612039215,0.110111760205882,3,12.329999924,21.09375
92,51.914142869,-1.144139338,5,82.2961,6.50621302058824e-002,-0.989129907960784,0.113561592882353,3,11.68999958,17.2265625
93,51.914245798,-1.144102123,5,82.3314,6.06233185588236e-002,-0.985707900137255,0.109481362686275,3,11.600000381,10.546875
94,51.914346465,-1.144089215,5,82.184,1.41888786470588e-002,-0.990386962882353,0.128927193490196,3,11.43999958,7.03125
95,51.914443024,-1.144058369,5,82.0617,-0.140905791607843,-0.978710997333333,9.26181568431373e-002,3,10.720000267,10.546875
96,51.914533046,-1.144014532,5,81.9711,-0.358586629264706,-1.01594857604902,5.38615806078431e-002,3,10.569999695,24.9609375
97,51.914533046,-1.144014532,5,81.9711,-0.250494265088235,-0.981768738990196,6.70364978333333e-002,3,10.569999695,24.9609375
97,51.914614895,-1.143938676,5,81.9761,-0.250494265088235,-0.981768738990196,6.70364978333333e-002,3,10.300000191,40.078125
98,51.914533046,-1.144014532,5,81.9711,3.44310090196078e-003,-0.986217723137255,0.10190118522549,3,10.569999695,24.9609375
98,51.914533046,-1.144014532,5,81.9711,3.44310090196078e-003,-0.986217723137255,0.10190118522549,3,10.569999695,24.9609375
98,51.914685848,-1.143857455,5,81.9531,3.44310090196078e-003,-0.986217723137255,0.10190118522549,3,9.779999733,40.078125
99,51.914753616,-1.14378294,5,82.0528,1.55772788235294e-002,-0.98660801904902,9.84906963039216e-002,3,9.109999657,37.6171875
100,51.914825994,-1.143708844,5,81.9914,1.46123848823529e-002,-0.995762394911765,0.105441373990196,3,8.390000343,31.9921875
101,51.914886906,-1.143651259,5,81.9757,-9.81618842156863e-003,-0.995182411313726,0.108603683166667,3,8.159999847,33.591976166
102,51.914936797,-1.143617772,5,81.8853,-1.78960164411765e-002,-0.998770620313726,8.08810065980392e-002,3,7.940000057,33.591976166
103,51.915014991,-1.143556711,5,81.6784,-4.29017310294118e-002,-1.01447296146078,-7.47704599705882e-002,3,7.170000076,24.14544487
104,51.915041866,-1.143541567,5,81.2941,-5.14307957647059e-002,-1.01980830176471,-0.117805181823529,3,4.010000229,24.14544487
105,51.915052924,-1.143534491,5,81.4158,-5.62590056568628e-002,-1.00748802630392,-5.10942048039215e-002,3,1.159999967,24.14544487
106,51.915051838,-1.143518903,5,81.3052,-6.17274864705882e-002,-0.998308518382353,4.08968457941177e-002,3,0,24.14544487
107,51.915056496,-1.143531902,5,81.2961,-7.12298224803922e-002,-0.980603535941176,0.1558214075,3,0,22.1484375
108,51.915056496,-1.143531902,5,82.0121,-6.92168300097087e-002,-0.982683644689321,0.151575773631068,3,0,22.1484375
109,51.915056496,-1.143531902,5,81.8644,-6.91564223235294e-002,-0.982150507882353,0.150760725460784,3,0,22.1484375
110,51.915056496,-1.143531902,5,81.4784,-6.97320676176471e-002,-0.981788934450981,0.151013542588235,3,0,22.1484375
111,51.915056496,-1.143531902,5,81.5517,-6.98601217941177e-002,-0.981245452294118,0.159315520617647,3,0,22.1484375
112,51.915077744,-1.143535338,5,81.7538,-9.5035777372549e-002,-0.961214850911765,0.277263267382353,3,1.019999981,22.5
113,51.915088976,-1.143518575,5,81.9756,-0.175699869833333,-0.951941695872548,0.283955143970588,3,2.470000029,32.34375
114,51.915099453,-1.143472474,5,81.7581,-0.254363714519608,-0.956687478480392,0.200555689215686,3,3.720000029,57.65625
115,51.915110182,-1.14341246,5,81.6994,-0.118415084529412,-0.976859447980393,0.167711444901961,3,4.699999809,84.7265625
116,51.915108757,-1.143335095,5,81.5113,-6.02609970784314e-002,-0.980417139392157,0.197112887519608,3,4.889999866,88.9453125
117,51.915109134,-1.14324918,5,81.5113,-7.6684091627451e-002,-0.968311833460784,0.236216227215686,3,6.099999905,91.0546875
118,51.915094382,-1.143167792,5,81.6533,-5.71718403039216e-002,-0.995495814931373,0.147492651862745,3,6.320000172,88.2421875
119,51.915091951,-1.143080704,5,81.2459,-7.21606086274511e-003,-0.989619984392157,0.117369707892157,3,5.900000095,86.1328125
120,51.915101423,-1.142999567,5,80.9986,7.5345357245098e-002,-0.994154687029412,9.86610861372549e-002,3,5.329999924,76.2890625
121,51.915124892,-1.142942319,5,80.8221,0.261363160411765,-0.988925410254902,3.93977445784314e-002,3,4.460000038,53.0859375
122,51.91515381,-1.142908288,5,80.8777,0.16444202495098,-1.01090285360784,5.57798498137255e-002,3,3.480000019,25.6640625
123,51.915182853,-1.142894207,5,80.8743,-5.01089657254902e-002,-0.988599590254902,7.94819851078432e-002,3,3.170000076,16.171875
124,51.915205778,-1.142888758,5,80.8593,-2.25378240194175e-002,-1.01497998282524,-4.69890705436893e-002,3,1.24000001,15.8203125
125,51.915205778,-1.142888758,5,80.5918,-2.80710855882353e-002,-0.992775561745099,9.21416936862745e-002,3,0,16.171875
126,51.915205778,-1.142888758,5,80.9838,-3.50660436666667e-002,-0.977084889176471,0.190209631852941,3,0,16.171875
127,51.915205778,-1.142888758,5,80.9143,-3.51578955882353e-002,-0.976698931549019,0.192228579019608,3,0,15.8203125
