Time,SecSinceStart,redTime,latitude,longitude,speed,altitude,Avg_x,Avg_y,Avg_z
2015-12-23 00:00:03,3.67229986190796,4,51.907501174,-1.150643947,0.6839999928,0.6839999928,-2.19973395686274e-002,-0.995033862549019,7.91500315784314e-002
2015-12-23 00:00:04,4.67229986190796,5,51.907480848,-1.150613353,1.7279999604,1.7279999604,-2.85349827156863e-002,-0.985813514921568,0.145062166117647
2015-12-23 00:00:05,5.67229986190796,6,51.907457714,-1.150612682,3.132000018,3.132000018,-2.9402489754902e-002,-0.977111816411765,0.19148852777451
2015-12-23 00:00:06,6.67230081558228,7,51.9074179,-1.150497263,3.2399999136,3.2399999136,-1.21091955196078e-002,-0.973673801794117,0.229020361813725
2015-12-23 00:00:07,7.67330098152161,8,51.907409602,-1.150461724,1.2599999784,1.2599999784,-3.84042776470589e-003,-0.982924367872549,0.169687009362745
2015-12-23 00:00:08,8.45116400718689,8,51.907456038,-1.150295092,0.6480000252,0.6480000252,4.54158407843137e-003,-0.982818603490197,0.171403473539216
2015-12-23 00:00:09,9.44809889793396,9,51.907419325,-1.150304647,0.6839999928,0.6839999928,-6.27555117647059e-004,-0.983521255794118,0.162013783156863
2015-12-23 00:00:12,12.4472777843475,12,51.90741044,-1.15034136,2.9519999748,2.9519999748,-0.118107323475728,-0.970661200349515,0.223341710349515
2015-12-23 00:00:13,13.4471709728241,13,51.907432443,-1.150345802,7.3799998272,7.3799998272,-8.04323682647059e-002,-0.975256377539216,0.203202191558823
2015-12-23 00:00:14,14.4472098350525,14,51.907457588,-1.150337001,10.9799998272,10.9799998272,5.21686032352941e-003,-0.973423826921569,0.229889514392157
2015-12-23 00:00:15,15.4471559524536,15,51.907488769,-1.150319902,13.3560001368,13.3560001368,-1.37089748039216e-002,-0.981774124441176,0.177337796078431
2015-12-23 00:00:16,16.4472649097443,16,51.907524057,-1.150298947,14.8319995896,14.8319995896,-0.126711677088235,-0.981798059784314,0.176969341147059
2015-12-23 00:00:17,17.4471309185028,17,51.907558674,-1.150276065,15.0479993808,15.0479993808,-0.245803833039216,-0.975105584803922,0.14806111654902
2015-12-23 00:00:18,18.4471819400787,18,51.907591363,-1.150233904,17.0639991756,17.0639991756,-0.172903621921569,-0.990642323205882,8.84887097156863e-002
2015-12-23 00:00:19,19.4471819400787,19,51.907609259,-1.150172967,16.5240005508,16.5240005508,-4.95201559607843e-002,-0.995891197068628,8.33040125686274e-002
2015-12-23 00:00:20,20.4471809864044,20,51.907614749,-1.150111947,14.3280000684,14.3280000684,-1.57584401960785e-003,-1.00462057077451,3.75684850098039e-002
2015-12-23 00:00:21,21.4471819400787,21,51.907616006,-1.15006635,9.8280000684,9.8280000684,2.32336006568627e-002,-0.970666773147059,0.250669741117647
2015-12-23 00:00:22,22.4471819400787,22,51.907620532,-1.150021758,11.1239996904,11.1239996904,0.132823121284314,-0.961448669450981,0.283331029509804
2015-12-23 00:00:23,23.4471819400787,23,51.907638931,-1.149973143,15.0840002052,15.0840002052,0.142409231176471,-0.963823505431373,0.300591263078431
2015-12-23 00:00:24,24.4471819400787,24,51.907686875,-1.149935005,20.2319995896,20.2319995896,-7.96015119607844e-003,-0.957943486186274,0.310318890735294
2015-12-23 00:00:25,25.4471828937531,25,51.907745381,-1.149896113,25.2360008244,25.2360008244,-3.1545003254902e-002,-0.962226718127451,0.274172465058823
