timestamp,x,y,z
1450096020.597003,-0.021161212,0.069236862,-0.052795038
1450096020.607005,-0.019960126,0.013919810,-0.016304937
1450096020.617007,-0.007076552,-0.007289605,0.034069021
1450096020.627008,0.001841310,-0.047756870,0.062067632
1450096020.637010,0.001972071,-0.048853027,0.054607319
1450096020.646996,-0.004649080,0.007579356,0.022310632
1450096020.656998,-0.020836572,0.033098831,-0.021722073
1450096020.667000,-0.023357254,0.050047188,-0.054882956
1450096020.677015,-0.014715563,0.078799741,-0.051683168
1450096020.686996,-0.013376526,0.027722442,-0.021607025
1450096020.696998,-0.013225258,-0.015850070,0.016958211
1450096020.707019,-0.006302371,-0.015771240,0.047976847
1450096020.717011,0.001061802,-0.040341564,0.048163801
1450096020.727013,-0.000649279,-0.028680114,0.027832430
1450096020.737023,-0.012619655,0.035257057,-0.002427471
1450096020.747025,-0.020477578,0.042627622,-0.038819301
1450096020.757027,-0.025513882,0.054333813,-0.052793440
1450096020.767026,-0.013008210,0.058599131,-0.033452499
1450096020.777009,-0.009698167,0.001140898,0.004139085
1450096020.787011,-0.006212622,-0.032870865,0.038443796
1450096020.797030,0.003111105,-0.023254723,0.057724017
1450096020.807012,0.000179763,-0.033971283,0.039595613
1450096020.817014,-0.012862535,0.002217881,0.001961684
1450096020.827034,-0.021493574,0.065039720,-0.035717784
1450096020.837035,-0.020171581,0.053235525,-0.052721535
1450096020.847037,-0.013105948,0.035135617,-0.034430944
1450096020.857039,-0.011819109,0.020364660,0.008305334
1450096020.867039,-0.008298676,-0.033937194,0.035221637
1450096020.877041,-0.004264520,-0.036044287,0.048079911
1450096020.887043,-0.003903129,0.001238903,0.038343128
1450096020.897043,-0.008690694,-0.007391870,0.005250955
1450096020.907045,-0.017624534,0.029876406,-0.022735673
1450096020.917045,-0.021454692,0.065031198,-0.037850443
1450096020.927047,-0.017400029,0.031962194,-0.034473289
1450096020.937049,-0.011502725,0.021362813,-0.008759936
1450096020.947033,-0.006736732,0.013985857,0.021193170
1450096020.957027,-0.005141499,-0.040350086,0.036352682
1450096020.967029,-0.006230199,-0.028597024,0.040560476
1450096020.977049,-0.007912518,0.004408064,0.024414529
1450096020.987054,-0.012646819,0.006440589,-0.008717592
1450096020.997056,-0.016330237,0.043698212,-0.031304660
1450096021.007031,-0.019407520,0.066106050,-0.032495625
1450096021.017059,-0.020893564,0.013896375,-0.023782827
1450096021.027061,-0.008564992,0.002188053,0.000949683
1450096021.037060,-0.003719371,-0.000936367,0.027687821
1450096021.047043,-0.006173740,-0.032879387,0.036311136
1450096021.057045,-0.009033442,-0.001979261,0.025491245
1450096021.067044,-0.012740030,0.026743464,0.001869805
1450096021.077067,-0.012367454,0.011716844,-0.022599851
1450096021.087069,-0.015312111,0.037298104,-0.030200779
1450096021.097069,-0.016593624,0.041620947,-0.017434384
1450096021.107071,-0.009537312,0.002173139,-0.004395547
1450096021.117073,-0.003427488,0.010742127,0.014847922
1450096021.127069,-0.005944975,0.001230380,0.032984315
1450096021.137074,-0.010303504,-0.038223818,0.026679814
1450096021.147076,-0.010951185,0.015064970,0.017935857
1450096021.157077,-0.006255499,0.036297820,0.000849016
1450096021.167078,-0.016624517,0.004265319,-0.025825206
1450096021.177080,-0.029284918,0.035261318,-0.027170368
1450096021.187081,-0.014781343,0.050219761,0.002821087
1450096021.197078,0.012512330,-0.013883591,0.014077203
1450096021.207080,0.004783304,-0.023393207,0.024681378
1450096021.217085,-0.019868513,-0.010424678,0.030719031
1450096021.227067,-0.016354206,-0.011578359,0.013702496
1450096021.237069,0.006650979,0.023395338,-0.006404370
1450096021.247090,0.002535596,0.028722725,-0.013942980
1450096021.257069,-0.031601069,0.019300461,-0.021805963
1450096021.267071,-0.028467860,0.047052730,-0.010139453
1450096021.277061,0.001105478,0.026673156,0.005245362
1450096021.287094,0.005025385,-0.025581260,0.010827081
1450096021.297096,-0.013283315,-0.004094876,0.023312247
1450096021.307079,-0.019744410,0.006628075,0.028522455
1450096021.317079,-0.005545767,-0.008464591,0.008494685
1450096021.327081,0.002406432,0.022346052,-0.008587363
1450096021.337101,-0.021983596,0.044864677,-0.014315290
1450096021.347102,-0.032580314,0.025692048,-0.025042503
1450096021.357104,-0.012382900,0.032002674,-0.016277773
1450096021.367105,-0.004285026,0.006432067,0.002054362
1450096021.377085,-0.014270016,-0.014781609,0.015874304
1450096021.387087,-0.009982593,0.006540724,0.021180386
1450096021.397109,-0.005492503,0.002198706,0.008454738
1450096021.407110,-0.010514959,0.001091896,-0.009736783
1450096021.417112,-0.019750802,0.048033839,-0.018565429
1450096021.427112,-0.017603228,0.034141725,-0.022751652
1450096021.437114,-0.008396947,0.008556204,-0.006538593
1450096021.447116,-0.001299090,0.008596684,0.014883076
1450096021.457102,-0.010142116,-0.013706757,0.024455276
1450096021.467118,-0.012208729,-0.014777348,0.020166787
1450096021.477120,-0.006471481,0.020332702,0.008373245
1450096021.487102,-0.005161739,0.013868678,-0.006517820
1450096021.497122,-0.017886323,0.020326311,-0.010970093
1450096021.507124,-0.013528326,0.036295690,-0.010975686
1450096021.517101,-0.011623100,0.012849220,-0.004462659
1450096021.527126,-0.007605189,-0.004199272,0.005252553
1450096021.537128,-0.009809221,0.013975204,0.013688115
1450096021.547130,-0.013088904,-0.004137487,0.012648950
1450096021.557130,-0.013074789,-0.005208078,0.011586615
1450096021.567132,-0.006407832,0.021386249,0.005170261
1450096021.577133,-0.014835139,0.016071645,-0.003449060
1450096021.587124,-0.017921743,0.017131583,-0.009891779
1450096021.597126,-0.011525362,0.036312734,-0.003484214
1450096021.607128,-0.015077487,0.006517288,0.007250190
1450096021.617138,-0.013159744,-0.010526943,0.014805578
1450096021.627140,-0.002504703,0.008632903,0.022333802
1450096021.637141,-0.004654673,-0.005229383,0.019159580
1450096021.647123,-0.014004499,0.003307646,0.006209426
1450096021.657125,-0.020944430,0.030987477,-0.016382435
1450096021.672128,-0.013536049,0.007474961,-0.018332136
1450096021.687122,-0.004182228,0.019219501,-0.000126234
1450096021.697128,-0.010861436,-0.002034655,0.008402806
1450096021.707130,-0.015157381,-0.009477658,0.007310111
1450096021.717148,-0.008483233,0.022452579,0.001940113
1450096021.727150,-0.011617774,0.013915549,-0.004466654
1450096021.737131,-0.012699816,0.007519702,-0.005522597
1450096021.747133,-0.012663864,0.034199249,-0.000290817
1450096021.757157,-0.013834856,0.002202967,-0.003383546
