timestamp,x,y,z
1450096020.571140,-0.079406738,-0.965789795,0.153869629
1450096020.596733,-0.007324219,-0.959762573,0.153793335
1450096020.606528,0.022857666,-0.992507935,0.155303955
1450096020.616324,0.019729614,-1.000274658,0.152694702
1450096020.626137,-0.010482788,-0.964538574,0.144989014
1450096020.635931,-0.044982910,-0.991195679,0.163269043
1450096020.645745,-0.069915771,-0.998123169,0.174102783
1450096020.655545,-0.073333740,-0.962539673,0.159011841
1450096020.665335,-0.050292969,-0.989883423,0.156875610
1450096020.675131,-0.018417358,-1.004272461,0.158370972
1450096020.684920,0.006790161,-0.963027954,0.152908325
1450096020.694744,0.017944336,-0.986404419,0.156570435
1450096020.704527,-0.000503540,-0.995941162,0.154724121
1450096020.714325,-0.027236938,-0.960159302,0.144546509
1450096020.724140,-0.050918579,-0.989181519,0.157821655
1450096020.733937,-0.062820435,-1.010314941,0.175338745
1450096020.743737,-0.057250977,-0.967895508,0.161575317
1450096020.753536,-0.032714844,-0.985580444,0.157760620
1450096020.763337,-0.002410889,-0.993911743,0.159027100
1450096020.773123,0.015808105,-0.963836670,0.150344849
1450096020.782937,0.013473511,-0.984756470,0.152938843
1450096020.792735,-0.008804321,-1.005844116,0.158859253
1450096020.802512,-0.040176392,-0.967056274,0.158462524
1450096020.812335,-0.061538696,-0.983306885,0.168624878
1450096020.822136,-0.060211182,-0.997024536,0.170867920
1450096020.831932,-0.042022705,-0.964126587,0.154541016
1450096020.841737,-0.011871338,-0.984619141,0.153549194
1450096020.851531,0.012451172,-1.003753662,0.164642334
1450096020.861307,0.010665894,-0.966873169,0.154602051
1450096020.871132,-0.008438110,-0.981750488,0.156173706
1450096020.880930,-0.035522461,-0.995025635,0.162246704
1450096020.890707,-0.058044434,-0.964813232,0.158859253
1450096020.900530,-0.061798096,-0.991348267,0.163940430
1450096020.910331,-0.048370361,-1.002822876,0.170150757
1450096020.920116,-0.027862549,-0.967025757,0.153808594
1450096020.929932,-0.005752563,-0.978103638,0.152603149
1450096020.939732,0.008560181,-1.002822876,0.162185669
1450096020.949527,-0.001770020,-0.963043213,0.156341553
1450096020.959307,-0.019470215,-0.976852417,0.154678345
1450096020.969113,-0.043029785,-1.001571655,0.167327881
1450096020.978913,-0.060852051,-0.975112915,0.163345337
1450096020.988712,-0.060775757,-0.973098755,0.159133911
1450096020.998528,-0.043075562,-0.998245239,0.163589478
